id,crew,experiment,time,seat,eeg_fp1,eeg_f7,eeg_f8,eeg_t4,eeg_t6,eeg_t5,eeg_t3,eeg_fp2,eeg_o1,eeg_p3,eeg_pz,eeg_f3,eeg_fz,eeg_f4,eeg_c4,eeg_p4,eeg_poz,eeg_c3,eeg_cz,eeg_o2,ecg,r,gsr
0,1,LOFT,0,0,17.8995,6.12783,0.994807,-28.2062,-47.695499,-187.080002,-33.183498,-4.22078,8.17816,33.160301,33.8125,21.744699,16.2938,-7.04448,-14.4051,-4.03384,-0.393799,31.8381,17.0756,-8.13735,-7323.120117,643.177002,594.778992
1,1,LOFT,0,1,45.883202,94.749001,23.2908,1.392,2.06094,-5.14529,6.39594,33.420101,-295.013,8.37317,29.6364,16.223,850.288025,19.887501,-215.179001,2.11832,7.34094,9.66785,1169.23999,-0.024414,-3335.080078,826.724976,136.235001
2,1,LOFT,0.00390625,0,33.120098,28.356501,-7.23922,-7.69086,-25.833799,-107.236,12.8452,1.21528,13.317,44.435101,37.5858,29.073,22.316099,-7.64256,-10.3636,10.9505,6.51336,36.0186,24.3566,0.956158,-7323.120117,643.177002,594.778992
3,1,LOFT,0.00390625,1,43.280102,95.887001,18.702299,-1.43289,-4.2326,-8.02118,7.42743,27.345699,-310.165009,5.38907,27.733999,7.2175,816.679016,13.8266,-214.223007,-4.91354,3.50452,3.87811,1159.400024,-0.047607,-3335.080078,826.724976,136.235001
4,1,LOFT,0.0078125,0,7.92911,3.46038,-10.8608,-26.366699,-25.894699,37.0079,-50.334202,-11.6764,-1.14386,-17.6005,34.0756,22.912399,19.0338,2.04545,-20.788799,-3.61418,-7.53983,3.08397,13.6479,1.47372,-7323.120117,643.177002,594.778992
5,1,LOFT,0.0078125,1,30.535999,87.867699,0.347961,-20.9632,-17.0121,-23.049299,-4.59879,11.3841,-323.565002,-11.1528,22.861,-5.72729,780.158997,-0.285706,-232.798996,-19.776699,-11.1192,-10.8025,1156.390015,0.037964,-3335.080078,826.724976,136.235001
6,1,LOFT,0.01171875,0,17.369301,13.1932,22.994699,28.896299,-65.690102,29.625099,-19.750401,2.20426,15.0561,10.2108,38.864601,43.178501,24.2938,36.466599,21.150499,36.458698,13.7119,21.6609,33.605099,24.4673,-7323.120117,643.177002,594.778992
7,1,LOFT,0.01171875,1,33.028599,87.419701,16.837299,-7.62991,-17.005199,-23.483999,-6.40869,20.339001,-332.373993,-10.6521,19.8286,-4.12936,751.815979,11.9775,-231.951996,-14.1732,-11.5807,-7.77765,1153.839966,0.023804,-3335.080078,826.724976,136.235001
8,1,LOFT,0.015625,0,14.5679,12.5,19.732599,-3.01618,5.8627,53.377399,-17.9986,7.4754,16.5492,1.9224,40.958698,36.5173,25.740999,17.7757,1.36844,17.8078,6.19547,15.4728,23.945,14.4857,-7323.120117,643.177002,594.778992
9,1,LOFT,0.015625,1,37.5616,87.320396,24.180799,1.93271,-9.42798,-16.8762,-3.19897,24.2771,-339.220001,-6.50931,18.054899,-1.60239,716.562988,15.0596,-229.264999,-7.31549,-7.01581,-4.30872,1146.380005,0.023804,-3335.080078,826.724976,136.235001
10,1,LOFT,0.01953125,0,0.487288,-2.26205,12.3399,-46.306301,-19.4144,-10.1057,-30.4293,5.65097,25.070601,15.2029,38.357899,31.3403,21.987301,13.1925,-1.92711,0.138584,4.38834,18.688101,17.553301,9.26127,-7323.120117,643.177002,594.778992
11,1,LOFT,0.01953125,1,39.558899,88.628098,22.8323,4.92554,6.85464,-18.715099,0.917206,26.951401,-343.263,-3.55725,15.9267,2.96875,682.234009,15.3531,-227.639008,5.39227,0.320923,-2.72205,1140.48999,-0.015625,-3335.080078,826.724976,136.235001
12,1,LOFT,0.0234375,0,-25.6259,-40.438499,9.66809,-21.070101,-50.283199,25.2841,-109.290001,-14.2909,-3.67323,-21.7167,35.536301,12.8345,16.0767,13.8815,-9.39093,-14.3658,-17.9925,-6.96182,0.22191,-16.4214,-7323.120117,643.177002,594.778992
13,1,LOFT,0.0234375,1,40.318501,94.099403,16.1152,3.87082,-1.24402,-22.2055,0.434143,22.031799,-347.957001,-7.44263,9.23019,2.81168,648.705994,10.3329,-234.345001,-2.57587,-3.79111,-6.50348,1126.75,-0.014771,-3335.080078,826.724976,136.235001
14,1,LOFT,0.02734375,0,-10.3334,-19.226601,-2.48686,-44.580502,-31.961,-30.579201,-29.7008,-9.5172,10.4373,8.02526,34.702999,2.18937,13.2866,6.92548,-11.1575,-9.00753,-4.81165,5.37712,7.74355,-8.32897,-7323.120117,643.177002,594.778992
15,1,LOFT,0.02734375,1,34.496799,87.232803,18.837601,4.74692,5.82932,-21.0882,-0.8703,25.7255,-353.468994,-7.79361,5.64076,6.56122,600.231995,13.2919,-236.052994,0.129456,-7.65182,-5.58203,1114.73999,-0.006104,-3335.080078,826.724976,136.235001
16,1,LOFT,0.03125,0,-0.736422,-2.93326,13.8376,-39.087101,-24.5177,-51.833698,9.76676,-3.55287,16.4305,23.7852,35.443501,1.53645,12.0055,-7.03176,-10.0851,-0.84922,0,1.52903,9.7537,0.168587,-7323.120117,643.177002,594.778992
17,1,LOFT,0.03125,1,45.3367,91.305801,23.8375,6.50757,7.18683,-14.3672,7.93304,34.631901,-363.798004,1.31442,4.7353,18.511801,555.383972,17.5779,-233.889008,7.3584,0.244385,3.16705,1100.150024,0.023804,-3335.080078,826.724976,136.235001
18,1,LOFT,0.03515625,0,-17.2255,-13.9714,15.6324,-63.105999,-52.986301,27.7251,-56.493999,-28.233101,-3.2407,-21.583,29.6182,7.43079,10.8325,10.1657,-19.6336,-20.106899,-13.4139,-8.96444,4.68032,-14.2337,-7323.120117,643.177002,594.778992
19,1,LOFT,0.03515625,1,46.945999,99.224998,22.0264,12.0836,-4.52429,-18.348,4.33136,32.319901,-372.485992,-3.62857,1.03153,16.742201,525.223999,14.4165,-230.966003,0,-1.80731,0.370911,1086.939941,3.09192,-3335.080078,826.724976,136.235001
20,1,LOFT,0.0390625,0,-17.192699,-1.44212,-0.021128,-69.931999,-36.708698,-21.408001,-41.340698,-20.3596,8.44808,1.41792,29.948,16.717501,8.05003,10.9239,-26.2932,-3.17164,-2.35351,-3.5365,10.1623,1.04891,-7323.120117,643.177002,594.778992
21,1,LOFT,0.0390625,1,37.354599,91.251701,17.870399,-1.59695,-14.4161,-19.6325,-2.52469,25.010401,-383.575989,-8.66104,-0.818237,10.7281,488.428009,10.0291,-239.610001,-7.49756,-9.24429,-3.2807,1077.469971,23.913,-3335.080078,826.724976,136.235001
22,1,LOFT,0.04296875,0,1.04481,-5.29811,-3.39241,-55.870399,-28.3482,-46.733501,-13.3217,-8.39759,9.52179,17.4799,28.518999,9.42476,7.71733,-12.1102,-27.9097,-5.98508,-2.50804,-0.781993,8.87237,-8.03483,-7323.120117,643.177002,594.778992
23,1,LOFT,0.04296875,1,36.198002,86.250198,30.2609,6.10675,-1.77194,-23.6667,-4.94379,31.416401,-394.352997,-6.68378,-6.46114,12.7198,448.535004,18.2698,-236.817001,4.61218,-1.66199,0.656555,1063.530029,45.1357,-3335.080078,826.724976,136.235001
24,1,LOFT,0.046875,0,-0.915104,-11.2656,-4.27225,-66.844803,-46.8881,-67.562698,-43.0709,-8.06212,-4.75012,-4.06308,23.4657,11.6652,3.68372,-10.1317,-32.509102,-12.4376,-10.0295,-0.88239,6.80183,-6.37498,-7323.120117,643.177002,594.778992
25,1,LOFT,0.046875,1,42.0966,89.169098,20.023701,9.44513,-0.774719,-24.441,4.70398,29.5588,-398.40799,0,-9.30202,18.162399,418.415009,14.3882,-231.457993,3.45789,2.61981,7.80499,1043.119995,71.698997,-3335.080078,826.724976,136.235001
26,1,LOFT,0.05078125,0,-14.108,-11.0893,-12.4311,-69.239601,-50.303902,-110.384003,-29.947399,-19.591299,-11.9409,-2.76571,21.562599,5.72258,0.217854,0,-41.929001,-22.07,-17.625401,0,0.929199,-23.778299,-7323.120117,643.177002,594.778992
